けしからんの, n
けちけち, n
けちけちした, n
けちん坊だ, n
けちん坊です, n
けちん坊と, n
けちん坊の, n
けばけば, n
けばけばしい, n
けわしい, n
けんのんだ, n
けんのんです, n
げっそり, n
こしゃくだ, n
こしゃくです, n
こすい, n
こせこせ, n
こっぴどい, n
こっ酷い, n
こてんこてんだ, n
こてんこてんです, n
ごしゃごしゃ, n
ごちゃごちゃ, n
ごっちゃだ, n
ごっちゃです, n
ごてごて, n
ごみごみ, n
ご法度だ, n
ご法度です, n
ご法度と, n
ご法度の, n
さもしい, n
しかたない, n
しかつめらしい, n
しつこい, n
しどろだ, n
しどろです, n
しどろもどろだ, n
しどろもどろです, n
しみったれる, n
しょうがない, n
しょぼい, n
しょぼしょぼ, n
しらじらしい, n
しわくちゃだ, n
しわくちゃです, n
しわくちゃと, n
しわくちゃの, n
しわしわ, n
しんどい, n
しんねり, n
じじむさい, n
じゃじゃ馬だ, n
じゃじゃ馬です, n
じゃじゃ馬と, n
じゃじゃ馬の, n
じゃじゃ馬的だ, n
じゃじゃ馬的です, n
じゃま臭い, n
じれったい, n
すかたんだ, n
すかたんです, n
すかたんと, n
すかたんの, n
すげない, n
すじ違い, n
すたれる, n
ずうずうしい, n
ずるい, n
ずれる, n
ずんべらぼうだ, n
ずんべらぼうです, n
ずんべらぼうと, n
ずんべらぼうの, n
せこい, n
せせこましい, n
せっかちだ, n
せっかちです, n
せわしい, n
せわしない, n
そぐわない, n
そそっかしい, n
そっけない, n
そらぞらしい, n
ぞっと, n
ぞんざいだ, n
ぞんざいです, n
たけだけしい, n
たじたじ, n
たどたどしい, n
たよりない, n
だらけた, n
だぶつく, n
だらしがない, n
だらしない, n
だらし無い, n
だるい, n
ちぐはぐだ, n
ちぐはぐです, n
ちっぽけだ, n
ちっぽけです, n
ちびだ, n
ちびです, n
ちまちま, n
ちゃちい, n
ちゃちだ, n
ちゃちです, n
ちゃちと, n
ちゃちの, n
ちゃらっぽこだ, n
ちゃらっぽこです, n
ちゃらっぽこと, n
ちゃらっぽこの, n
ちんちくりんだ, n
ちんちくりんです, n
ちんちくりんと, n
ちんちくりんの, n
ちんまり, n
つかむにくい, n
つたない, n
つぶれるやすい, n
つまらない, n
つまるぬ, n
つれない, n
つんつるてんだ, n
つんつるてんです, n
つんつるてんと, n
つんつるてんの, n
できる損なう, n
でくの坊だ, n
でくの坊です, n
でくの坊と, n
でくの坊の, n
でしゃばる, n
とげのある, n
とげとげしい, n
とっつくにくい, n
とぼける, n
とらえる所のない, n
とりとめるがない, n
とろい, n
とんがる, n
とんちんかんだ, n
とんちんかんです, n
とんちんかんと, n
とんちんかんの, n
とんでもない, n
とんまだ, n
とんまです, n
とんまと, n
とんまの, n
どけちだ, n
どけちです, n
ど助平だ, n
ど助平です, n
ど助平と, n
ど助平の, n
どぎつい, n
どけちと, n
どけちの, n
どじだ, n
どじです, n
どじと, n
どじの, n
どじをふむ, n
どじを踏む, n
どす黒い, n
どっちつくぬ, n
どっち付くぬ, n
どんくさい, n
なおざりだ, n
なおざりです, n
なごりおしい, n
なじむない, n
なじむにくい, n
なまぬるい, n
なよなよ, n
なれなれしい, n
にちゃにちゃ, n
にぶい, n
にべもない, n
にべも無い, n
ねたましい, n
ねちねち, n
のらりくらり, n
のれんに腕押しだ, n
のれんに腕押しです, n
のれんに腕押しと, n
のれんに腕押しの, n
のろい, n
のろくさい, n
のろのろ, n
のろまだ, n
のろまです, n
のろまと, n
のろまの, n
はかばかしい, n
はしたない, n
はずれだ, n
はずれです, n
はずれと, n
はずれの, n
はでだ, n
はでです, n
はで好みだ, n
はで好みです, n
はで好みと, n
はで好みの, n
ばか正直だ, n
ばか正直です, n
ばか丁寧だ, n
ばか丁寧です, n
ばかくさい, n
ばっちい, n
ばらつきがある, n
ひやひや, n
ひょろひょろ, n
ひ弱い, n
びしょびしょだ, n
びしょびしょです, n
ふがいない, n
ふた目と見るられるない, n
ふつつかだ, n
ふつつかです, n
ふてぶてしい, n
ふにゃふにゃ, n
ふにゃふにゃだ, n
ふにゃふにゃです, n
ふらふら, n
ふんぞり返る, n
ぶよぶよ, n
へなちょこだ, n
へなちょこです, n
へなちょこと, n
へなちょこの, n
へいこら, n
へそ曲がりだ, n
へそ曲がりです, n
へそ曲がりと, n
へそ曲がりの, n
へたくそだ, n
へたくそです, n
へとへとだ, n
へとへとです, n
へなへな, n
べとつく, n
べとべと, n
ぺしゃんこだ, n
ぺしゃんこです, n
ぺしゃんこと, n
ぺしゃんこの, n
ぺてん師だ, n
ぺてん師です, n
ぺてん師と, n
ぺてん師の, n
ほど遠い, n
ぼさっと, n
ぼやける, n
ぼやぼや, n
ぼろい, n
ぼろぼろだ, n
ぼろぼろです, n
ぼんくらだ, n
ぼんくらです, n
ぼんくらと, n
ぼんくらの, n
ぼんやり, n
まがい物だ, n
まがい物です, n
まがい物と, n
まがい物の, n
まがい物的だ, n
まがい物的です, n
まがまがしい, n
まごまご, n
まだるっこい, n
ままならない, n
みそっかす, n
みすぼらしい, n
みっともない, n
みにくい, n
みみっちい, n
むかむか, n
むごい, n
むごたらしい, n
むさい, n
むさくるしい, n
むっと, n
むなぐるしい, n
むなしい, n
めそめそ, n
めちゃくちゃだ, n
めちゃくちゃです, n
めちゃめちゃだ, n
めちゃめちゃです, n
めんどう臭い, n
めんどうくさい, n
めんどくさい, n
もう一つだ, n
もたつきがある, n
もっさり, n
もったいない, n
もってのほかだ, n
もってのほかです, n
もってのほかと, n
もってのほかの, n
もどかしい, n
ものうい, n
ものすさまじい, n
ものたりない, n
もの狂おしい, n
もの凄まじい, n
もの悲しい, n
やかましい, n
やきもき, n
やっかいだ, n
やっかいです, n
やにっこい, n
やばい, n
やぶさかだ, n
やぶさかです, n
やぼだ, n
やぼです, n
やぼったい, n
やましい, n
ややこしい, n
やりきれない, n
やり切れない, n
やるせない, n
やわだ, n
やわです, n
やわい, n
ゆゆしい, n
ゆるい, n
よけいだ, n
よけいです, n
よけいと, n
よけいの, n
よそよそしい, n
よれよれだ, n
よれよれです, n
よれる, n
よわい, n
よんどころない, n
らちもない, n
ろくでなしだ, n
ろくでなしです, n
ろくでなしと, n
ろくでなしの, n
わいせつだ, n
わいせつです, n
わいせつと, n
わいせつの, n
わかるにくい, n
わざとらしい, n
わずらわしい, n
わびしい, n
わやだ, n
わやです, n
わやくだ, n
わやくです, n
アウトローだ, n
アウトローです, n
アウトローと, n
アウトローの, n
アホだ, n
アホです, n
アホと, n
アホの, n
アンナチュラルだ, n
アンナチュラルです, n
アンナチュラルと, n
アンナチュラルの, n
イカレる, n
イマイチだ, n
イマイチです, n
イマイチと, n
イマイチの, n
イレギュラ, n
イレギュラー, n
インチキだ, n
インチキです, n
インチキと, n
インチキの, n
インパクトがない, n
ウドの大木だ, n
ウドの大木です, n
ウドの大木と, n
ウドの大木の, n
エキセントリックだ, n
エキセントリックです, n
エゴイストだ, n
エゴイストです, n
エゴイストと, n
エゴイストの, n
エッチだ, n
オーソドックスすぎる, n
オマケ程度, n
オモチャっぽい, n
オヤジ臭い, n
オリジナリティがない, n
カッコ悪い, n
ガキっぽい, n
ガタ落ち, n
ガチガチだ, n
ガチガチです, n
キズがある, n
キツイ, n
キリがない, n
ギクシャク, n
ギュウギュウだ, n
ギュウギュウです, n
クセがある, n
クセはある, n
グルーミー, n
グロだ, n
グロです, n
グロと, n
グロの, n
グロッキーだ, n
グロッキーです, n
グロッキーと, n
グロッキーの, n
グロテスクだ, n
グロテスクです, n
コワい, n
ショッキングだ, n
ショッキングです, n
ショックがある, n
ショボ過ぎ, n
シリアスだ, n
シリアスです, n
ジャジャ馬だ, n
ジャジャ馬です, n
ジャジャ馬と, n
ジャジャ馬の, n
ズレる, n
センスがない, n
ダーティ, n
ダーティー, n
ダサい, n
チグハグだ, n
チグハグです, n
チャチ, n
チャラチャラ, n
ディプレッション, n
デカ過ぎ, n
デプレッション, n
ノイジー, n
ノンセンスだ, n
ノンセンスです, n
ノンセンスと, n
ノンセンスの, n
バタくさい, n
バタ臭い, n
バラツキがある, n
パワー不足, n
ヒステリックだ, n
ヒステリックです, n
ヒヤヒヤ, n
ビビるやすい, n
ヘンテコだ, n
ヘンテコです, n
ミーハーだ, n
ミーハーです, n
ミスマッチ, n
メチャメチャだ, n
メチャメチャです, n
メランコリック, n
メリハリがない, n
ヤワだ, n
ヤワです, n
ヨレヨレだ, n
ヨレヨレです, n
ヨレヨレと, n
ヨレヨレの, n
ワーストワンだ, n
ワーストワンです, n
ワーストワンと, n
ワーストワンの, n
ワンマンだ, n
ワンマンです, n
唖然だ, n
唖然です, n
唖然と, n
唖然の, n
阿呆くさい, n
阿呆だ, n
阿呆です, n
阿呆と, n
阿呆の, n
阿呆らしい, n
阿呆臭い, n
哀しい, n
哀しむ, n
哀れだ, n
愛想がない, n
愛想の無い, n
悪趣味だ, n
悪趣味です, n
悪趣味と, n
悪趣味の, n
悪い, n
悪賢い, n
悪達者だ, n
悪達者です, n
悪達者と, n
悪達者の, n
悪辣だ, n
悪辣です, n
扱いにくい, n
扱い難い, n
安っぽい, n
安普請的だ, n
安普請的です, n
安物だ, n
安物です, n
安物と, n
安物の, n
暗い, n
暗む, n
暗愚だ, n
暗愚です, n
暗愚と, n
暗愚の, n
暗鬱だ, n
暗鬱です, n
暗澹だ, n
暗澹です, n
暗澹と, n
暗澹の, n
意に介さない, n
意気地無しだ, n
意気地無しです, n
意気地無しと, n
意気地無しの, n
意固地だ, n
意固地です, n
意志薄弱だ, n
意志薄弱です, n
意志薄弱と, n
意志薄弱の, n
意地が悪い, n
意地の悪い, n
意地っぱりだ, n
意地っぱりです, n
意地っぱりと, n
意地っぱりの, n
意地っ張りだ, n
意地っ張りです, n
意地っ張りと, n
意地っ張りの, n
意地汚い, n
意地張りだ, n
意地張りです, n
意地張りと, n
意地張りの, n
違和感がある, n
一卷の終りだ, n
一卷の終りです, n
一卷の終りと, n
一卷の終りの, n
一巻の終わる, n
一筋縄ではいかない, n
一苦労, n
一文惜しみだ, n
一文惜しみです, n
一文惜しみと, n
一文惜しみの, n
引っ込みがちだ, n
引っ込みがちです, n
引っ込み思案だ, n
引っ込み思案です, n
引っ込み思案と, n
引っ込み思案の, n
淫蕩だ, n
淫蕩です, n
淫蕩と, n
淫蕩の, n
淫猥だ, n
淫猥です, n
淫靡だ, n
淫靡です, n
淫靡と, n
淫靡の, n
陰うつだ, n
陰うつです, n
陰気臭い, n
陰険だ, n
陰険です, n
陰惨だ, n
陰惨です, n
陰湿だ, n
陰湿です, n
陰鬱だ, n
陰鬱です, n
烏滸がましい, n
迂遠だ, n
迂遠です, n
迂愚だ, n
迂愚です, n
迂闊だ, n
迂闊です, n
雲泥の差がある, n
雲泥の差だ, n
雲泥の差です, n
雲泥の差と, n
雲泥の差の, n
影がうすい, n
影が薄い, n
厭だ, n
厭です, n
厭わしい, n
怨めしい, n
縁がない, n
遠慮会釈もない, n
汚い, n
汚らしい, n
汚らわしい, n
汚れやすい, n
汚穢だ, n
汚穢です, n
汚穢と, n
汚穢の, n
奥行きがない, n
押しが強い, n
押し付けがましい, n
横柄だ, n
横柄です, n
横様だ, n
横様です, n
臆病者だ, n
臆病者です, n
臆病者と, n
臆病者の, n
恩着せがましい, n
下にもおけない, n
下らない, n
下賎だ, n
下賎です, n
下等だ, n
下等です, n
下劣だ, n
下劣です, n
何にもならない, n
何のへんてつもない, n
可哀相だ, n
可哀相です, n
火の消えたよう, n
禍々しい, n
禍禍しい, n
苛酷だ, n
苛酷です, n
苛烈だ, n
苛烈です, n
過ち, n
過酷だ, n
過酷です, n
我が物顔だ, n
我が物顔です, n
我が物顔と, n
我が物顔の, n
画一的だ, n
画一的です, n
怪しい, n
怪しげだ, n
怪しげです, n
怪異だ, n
怪異です, n
怪奇だ, n
怪奇です, n
格好悪い, n
角のある, n
角張りすぎる, n
隔靴掻痒だ, n
隔靴掻痒です, n
隔靴掻痒と, n
隔靴掻痒の, n
隔心だ, n
隔心です, n
隔心と, n
隔心の, n
楽しみがない, n
割に合わない, n
恰好わるい, n
恰好悪い, n
寒々, n
寒ざむ, n
寒寒, n
勘弁だ, n
感情的だ, n
感情的です, n
甘ｋ見る, n
甘ったれる, n
緩い, n
間が悪い, n
間の延びた, n
間延び, n
間延びした, n
間尺に合わない, n
閑散だ, n
閑散です, n
頑愚だ, n
頑愚です, n
頑愚と, n
頑愚の, n
頑冥だ, n
頑冥です, n
頑迷だ, n
頑迷です, n
顔負けだ, n
顔負けです, n
顔負けと, n
顔負けの, n
危うい, n
危ない, n
危なっかしい, n
奇々怪々だ, n
奇々怪々です, n
奇々怪々と, n
奇々怪々の, n
奇っ怪だ, n
奇っ怪です, n
奇奇怪怪だ, n
奇奇怪怪です, n
奇奇怪怪と, n
奇奇怪怪の, n
奇態だ, n
奇態です, n
希薄だ, n
希薄です, n
忌まわしい, n
忌わしい, n
機械的だ, n
機械的です, n
機嫌が悪い, n
気が遠くなる, n
気が遠のく, n
気が強い, n
気が塞ぐ, n
気が弱い, n
気が重い, n
気が小さい, n
気が短い, n
気が沈む, n
気にくわない, n
気むつかしい, n
気ぜわしい, n
気むずかしい, n
気弱だ, n
気弱です, n
気取った, n
気色が悪い, n
気早だ, n
気早です, n
気短だ, n
気短です, n
気難しい, n
気付きにくい, n
気分が悪い, n
気忙しい, n
気味が悪い, n
稀薄だ, n
